,BTC,ETH,LTC,BCH,TRX,XRP,EOS
306,6818.69,272.4,58.62,525.82,0.02323,0.3232,5.75
307,6903.08,276.58,59.57,533.53,0.02436,0.3276,5.94
308,7025.58,281.44,62.11,541.45,0.02539,0.3346,6.4
309,7144.71,289.26,64.2,602.14,0.02476,0.3361,6.32
310,7204.89,285.86,64.41,623.01,0.024480000000000002,0.3328,6.37
311,7246.76,277.84,65.35,621.19,0.025,0.3285,6.32
312,6694.06,226.12,57.52,523.12,0.0214,0.2778,5.13
313,6295.11,211.18,53.98,486.88,0.02011,0.268,4.84
314,6345.48,213.83,55.08,492.85,0.01983,0.2811,4.91
315,6134.76,190.08,51.9,463.28,0.01876,0.2693,4.61
316,6161.83,185.01,52.2,463.38,0.01885,0.271,4.66
317,6247.64,186.92,53.12,459.38,0.01886,0.26,4.88
318,6199.19,175.96,50.0,425.45,0.01787,0.2526,4.73
319,6208.28,167.6,47.22,410.52,0.017159999999999998,0.2535,4.77
320,6337.08,183.03,51.63,431.25,0.01818,0.2674,4.93
321,6393.84,202.8,52.97,439.77,0.01892,0.2718,5.13
322,6473.47,208.38,55.66,443.59,0.01962,0.2758,5.21
323,6404.31,207.9,54.55,426.44,0.019209999999999998,0.2743,5.2
324,6216.83,192.51,51.42,408.55,0.01807,0.2667,4.65
325,6238.25,194.0,50.54,412.25,0.01817,0.2692,4.76
326,6131.02,197.43,51.68,408.46,0.018619999999999998,0.3109,4.91
327,6361.33,206.97,53.4,423.46,0.01963,0.3216,5.18
328,6501.01,221.25,56.36,449.74,0.021230000000000002,0.4265,5.64
329,6633.01,233.01,58.08,470.15,0.02232,0.4923,5.78
330,6663.9,237.24,59.93,477.24,0.022719999999999997,0.5559,5.82
331,6557.82,225.1,57.17,456.21,0.02188,0.4829,5.59
332,6333.21,202.9,54.36,424.56,0.02014,0.436,5.0
333,6383.16,207.31,56.48,433.44,0.02008,0.484,5.24
334,6434.76,210.05,56.69,513.06,0.02062,0.5065,5.35
335,6545.41,214.97,60.19,530.62,0.0213,0.5149,5.65
336,6474.23,213.33,58.97,510.44,0.0212,0.5237,5.45
337,6543.68,226.14,59.82,517.09,0.0218,0.5589,5.33
338,6510.54,224.54,59.32,520.55,0.02159,0.5325,5.51
339,6478.04,222.43,58.86,522.42,0.02181,0.5135,5.53
340,6428.98,214.98,56.53,506.01,0.02119,0.5067,5.41
341,6486.86,219.01,57.25,507.85,0.021269999999999997,0.5248,5.6
342,6546.98,219.06,57.44,510.53,0.022180000000000002,0.5096,5.66
343,6563.25,222.82,56.85,501.92,0.02277,0.4682,5.67
344,6535.02,220.75,56.9,505.57,0.02358,0.4671,5.63
345,6565.01,223.65,57.53,517.57,0.026080000000000002,0.4782,5.73
346,6589.39,226.08,58.19,515.69,0.02538,0.4697,5.84
347,6487.86,222.63,57.06,507.75,0.0246,0.4595,5.8
