,BTC,ETH,LTC,BCH,TRX,XRP,EOS
160,6790.45,381.43,118.76,644.1,0.0393,0.4886,6.33
161,6634.86,370.35,113.19,610.9,0.03671,0.4731,5.84
162,6917.2,384.98,116.2,642.65,0.037239999999999995,0.4847,5.9
163,7049.92,400.72,117.88,657.44,0.03787,0.4973,5.98
164,6789.53,399.02,115.02,638.73,0.03606,0.4862,5.86
165,6871.07,415.65,114.41,652.78,0.03731,0.4909,6.0
166,6977.04,430.39,118.32,670.06,0.03657,0.5401,8.52
167,7927.73,493.95,129.71,737.84,0.04029,0.6416,8.83
168,7898.74,494.96,125.57,743.27,0.03926,0.6424,8.82
169,8022.51,502.79,126.55,739.16,0.04055,0.6401,8.71
170,8376.73,534.16,132.71,782.05,0.04365,0.6936,8.53
171,8079.77,511.67,128.84,769.81,0.04123,0.6638,8.12
172,7921.65,503.03,132.34,759.77,0.04239,0.6549,8.5
173,8189.92,525.78,140.49,895.68,0.0477,0.7132,9.04
174,8301.82,567.25,146.58,966.63,0.04936,0.7828,9.48
175,8877.15,617.17,155.73,1125.29,0.053989999999999996,0.9229,11.45
176,8935.85,605.17,148.5,1154.45,0.053320000000000006,0.8655,11.14
177,8823.46,621.33,146.67,1195.64,0.052070000000000005,0.862,11.3
178,8967.86,644.13,152.64,1440.95,0.058789999999999995,0.8736,11.62
179,9657.69,703.4,164.69,1407.56,0.07247999999999999,0.9213,15.11
180,8873.57,617.62,145.0,1289.86,0.07003999999999999,0.795,14.46
181,9289.01,661.41,153.19,1421.25,0.07403,0.8466,15.44
182,8938.47,643.12,145.87,1331.97,0.07338,0.8057,16.61
183,9349.94,683.02,151.96,1390.64,0.0819,0.8617,18.78
184,9407.35,689.31,153.43,1440.09,0.08838,0.8682,21.41
185,9248.25,670.04,148.27,1348.4,0.09296,0.8313,17.46
186,9077.28,670.81,148.02,1354.28,0.0923,0.8343,18.74
187,9232.19,686.74,151.21,1457.08,0.09135,0.8587,19.23
188,9746.26,777.78,161.22,1507.65,0.08711,0.8802,17.67
189,9700.37,784.19,168.76,1513.29,0.086,0.8889,17.05
190,9846.44,816.59,178.16,1758.59,0.08719,0.9004,17.77
191,9643.99,790.39,171.84,1756.57,0.08452,0.8629,17.39
192,9377.08,752.39,164.24,1651.39,0.08269,0.8262,17.8
193,9196.13,747.79,159.04,1599.52,0.08248,0.8065,17.96
194,9321.52,751.27,156.78,1626.74,0.08027000000000001,0.7957,17.79
195,9032.22,723.63,148.24,1519.84,0.07285,0.7485,17.32
196,8420.82,677.8,136.47,1367.01,0.06437999999999999,0.6781,14.82
197,8488.07,683.64,141.82,1458.55,0.06691,0.6836,13.95
198,8709.46,729.34,144.41,1478.75,0.07399,0.7285,14.59
199,8672.88,727.41,147.39,1412.97,0.07076,0.7272,13.8
200,8480.16,705.64,139.56,1337.53,0.06745,0.6905,12.8
201,8342.69,706.71,139.32,1280.11,0.07123,0.708,12.67
202,8071.04,668.41,132.63,1192.88,0.0662,0.6592,12.23
203,8247.91,693.57,136.19,1203.32,0.06882,0.6764,12.91
204,8249.24,696.05,135.14,1177.02,0.06875,0.6747,13.12
